jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|kw_energy_consumption:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[10]:window=1000:field=kw_energy_consumption,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[10]:window=1000:field=kw_energy_consumption, 
1001,  1549,  completed,  eof,  2016-02-17 08:16:40,  2016-02-17 08:17:18,  38,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.5963842415.modelParams|clParams|alpha_0.00579511077252.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.375.modelParams|sensorParams|encoders|kw_energy_consumption:n_59.modelParams|sensorParams|encoders|_classifierInput|n_54.modelParams|spParams|synPermInactiveDec_0.0925225,  4391,  None,  2.5963842415,  0.00579511077252,  9,  13,  2,  1.375,  59,  54,  0.0925225,  7.92034429004,  22.6923155758, 
1001,  1550,  completed,  eof,  2016-02-17 08:16:56,  2016-02-17 08:17:54,  58,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.65625.modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.75.modelParams|sensorParams|encoders|kw_energy_consumption:n_296.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.055135,  4391,  None,  2.65625,  0.055045,  11,  14,  3,  3.75,  296,  299,  0.055135,  9.60844395675,  27.5288339085, 
1001,  1551,  completed,  eof,  2016-02-17 08:17:00,  2016-02-17 08:17:58,  58,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.65625.modelParams|clParams|alpha_0.0478201247259.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.74732235595.modelParams|sensorParams|encoders|kw_energy_consumption:n_262.modelParams|sensorParams|encoders|_classifierInput|n_297.modelParams|spParams|synPermInactiveDec_0.0560249788682,  4391,  None,  2.65625,  0.0478201247259,  11,  14,  3,  3.74732235595,  262,  297,  0.0560249788682,  9.86043586325,  28.250807557, 
1001,  1552,  completed,  eof,  2016-02-17 08:17:18,  2016-02-17 08:17:58,  40,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.58141780187.modelParams|clParams|alpha_0.00597013846565.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.46875.modelParams|sensorParams|encoders|kw_energy_consumption:n_69.modelParams|sensorParams|encoders|_classifierInput|n_54.modelParams|spParams|synPermInactiveDec_0.090653125,  4391,  None,  2.58141780187,  0.00597013846565,  9,  13,  2,  1.46875,  69,  54,  0.090653125,  8.15631316333,  23.3683821636, 
1001,  1553,  completed,  eof,  2016-02-17 08:17:19,  2016-02-17 08:18:01,  42,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.65625.modelParams|clParams|alpha_0.005095.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_53.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  2.65625,  0.005095,  9,  12,  1,  1,  22,  53,  0.1,  7.51797594154,  21.5395033737, 
1001,  1554,  completed,  eof,  2016-02-17 08:17:20,  2016-02-17 08:18:03,  43,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.6203125.modelParams|clParams|alpha_0.00634375.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_59.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  2.6203125,  0.00634375,  9,  12,  1,  1,  22,  59,  0.1,  7.33362994887,  21.011339788, 
1001,  1555,  completed,  eof,  2016-02-17 08:17:34,  2016-02-17 08:18:11,  37,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.04580693417.modelParams|clParams|alpha_0.0205974739584.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.23928942379.modelParams|sensorParams|encoders|kw_energy_consumption:n_57.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  3.04580693417,  0.0205974739584,  9,  13,  2,  1.23928942379,  57,  28,  0.1,  8.57170602369,  24.5585104623, 
1001,  1556,  completed,  eof,  2016-02-17 08:17:54,  2016-02-17 08:18:34,  40,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.6203125.modelParams|clParams|alpha_0.0118739994518.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.05660918309.modelParams|sensorParams|encoders|kw_energy_consumption:n_62.modelParams|sensorParams|encoders|_classifierInput|n_55.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  2.6203125,  0.0118739994518,  9,  13,  2,  1.05660918309,  62,  55,  0.1,  8.65902422176,  24.8086829338, 
1001,  1557,  completed,  eof,  2016-02-17 08:17:58,  2016-02-17 08:18:37,  39,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.6203125.modelParams|clParams|alpha_0.00302412347563.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  2.6203125,  0.00302412347563,  9,  13,  1,  1,  22,  28,  0.1,  7.4553452724,  21.3600623221, 
1001,  1558,  completed,  eof,  2016-02-17 08:17:58,  2016-02-17 08:18:39,  41,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.64224087657.modelParams|clParams|alpha_0.00519582918191.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.00163365247.modelParams|sensorParams|encoders|kw_energy_consumption:n_28.modelParams|sensorParams|encoders|_classifierInput|n_53.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  2.64224087657,  0.00519582918191,  9,  12,  1,  1.00163365247,  28,  53,  0.1,  9.18768026419,  26.3233178167, 
